X;Y;STRUCTYPE
56;49;N/A
56;49;N/A
55;49;N/A
56;49;N/A
55;49;N/A
55;49;N/A
56;50;N/A
54;50;N/A
56;49;N/A
56;49;N/A
55;50;N/A
56;49;N/A
56;49;N/A
54;50;N/A
55;50;N/A
56;49;N/A
55;49;N/A
95;53;TOWER
95;53;TOWER
95;53;TOWER
95;53;TOWER
95;53;TOWER
95;53;MAST
86;55;TOWER
86;55;TOWER
85;55;TOWER
86;55;TOWER
86;55;TOWER
86;56;TOWER
86;55;TOWER
86;55;TOWER
86;55;TOWER
86;55;TANK
85;55;TOWER
86;55;TOWER
85;55;TOWER
96;54;TOWER
96;54;TOWER
95;54;TOWER
100;55;TOWER
99;55;TOWER
99;55;TOWER
99;55;TOWER
75;61;TOWER
74;61;TOWER
76;61;TOWER
75;61;TOWER
75;60;TOWER
75;61;TOWER
75;61;TOWER
75;60;TOWER
76;61;TOWER
80;50;POLE
80;50;TOWER
80;50;TOWER
79;50;TOWER
81;50;TOWER
80;50;MAST
80;50;MAST
80;50;MAST
80;50;MAST
80;50;TOWER
80;51;MAST
80;50;MAST
79;51;TOWER
80;50;MAST
81;50;TOWER
81;50;TOWER
80;50;TOWER
81;50;TOWER
80;51;TOWER
80;50;MAST
80;51;TOWER
81;50;MAST
81;50;MAST
80;50;POLE
81;50;MAST
81;50;POLE
106;58;N/A
107;58;N/A
107;58;N/A
107;58;TOWER
107;58;N/A
107;58;N/A
107;58;N/A
107;59;N/A
106;58;N/A
107;58;N/A
107;58;N/A
106;58;TOWER
106;58;TOWER
107;58;N/A
106;58;TOWER
107;58;TOWER
107;58;N/A
107;58;TOWER
107;58;POLE
106;58;TOWER
106;58;BTWR
107;58;TOWER
106;58;TOWER
106;58;TOWER
107;58;TOWER
107;58;POLE
79;46;N/A
79;46;N/A
78;46;TOWER
78;45;TOWER
78;46;N/A
79;46;TOWER
79;46;N/A
78;45;TOWER
79;45;TOWER
78;46;TOWER
79;46;TOWER
79;45;TOWER
79;45;TOWER
79;45;POLE
78;45;MAST
79;45;TOWER
79;45;MAST
79;45;TOWER
78;45;TOWER
78;45;TOWER
79;46;TOWER
95;50;POLE
94;50;POLE
94;50;B
95;50;POLE
95;50;TOWER
94;50;POLE
95;50;MAST
79;63;N/A
78;61;TOWER
78;62;N/A
79;60;N/A
77;60;N/A
79;60;N/A
78;61;N/A
79;62;N/A
78;61;N/A
78;62;TOWER
79;61;TOWER
78;60;TOWER
79;60;TOWER
78;62;TOWER
78;62;TOWER
78;63;TOWER
78;61;TOWER
78;60;TOWER
78;62;NNTANN
79;60;MAST
78;61;TOWER
79;61;POLE
78;62;MAST
79;60;TOWER
79;61;TOWER
78;61;TOWER
79;61;MAST
78;60;TOWER
78;61;TOWER
78;61;TOWER
98;55;N/A
98;55;N/A
99;55;N/A
98;55;N/A
98;55;N/A
98;55;N/A
98;55;TOWER
95;52;N/A
95;52;NNTANN
94;52;N/A
95;52;MAST
94;52;TOWER
94;52;N/A
94;52;N/A
94;52;TOWER
94;52;TOWER
95;52;TOWER
95;52;TOWER
95;52;TOWER
92;56;TOWER
91;57;TOWER
91;57;TOWER
91;56;TOWER
92;57;TOWER
91;57;TOWER
91;57;TOWER
92;56;TOWER
92;56;TOWER
92;57;TOWER
92;57;POLE
92;57;TOWER
92;57;TOWER
97;54;TOWER
97;54;TOWER
97;54;TOWER
98;54;TOWER
97;54;TOWER
97;54;BANT
97;54;TOWER
97;54;TOWER
97;54;TOWER
98;54;TOWER
97;54;TOWER
98;54;MAST
98;54;TOWER
98;54;TOWER
98;54;TOWER
96;54;TOWER
95;54;TOWER
95;54;TOWER
95;54;TOWER
95;54;TOWER
95;54;TOWER
82;51;N/A
82;51;N/A
82;51;N/A
82;51;N/A
82;50;N/A
83;51;N/A
82;51;N/A
82;51;TOWER
82;50;TOWER
82;51;TOWER
94;52;TOWER
93;53;TOWER
93;52;TOWER
94;52;TOWER
94;53;TOWER
94;52;TOWER
94;52;TOWER
93;52;TOWER
94;52;TOWER
94;52;TOWER
94;52;MAST
93;52;TOWER
93;52;TOWER
81;48;N/A
81;48;N/A
81;48;TOWER
81;48;N/A
81;49;TOWER
81;48;N/A
80;48;N/A
81;48;TOWER
81;49;N/A
80;48;N/A
81;49;N/A
82;48;N/A
81;48;TOWER
81;49;TOWER
81;48;TOWER
81;48;TOWER
81;48;TOWER
81;48;TOWER
101;55;TOWER
100;55;N/A
100;55;N/A
100;55;N/A
101;55;N/A
101;55;MAST
101;55;N/A
100;55;N/A
100;55;N/A
101;55;TOWER
100;55;TOWER
101;55;TOWER
98;50;TOWER
97;50;TOWER
98;50;TOWER
97;50;TOWER
97;50;TOWER
98;50;TOWER
98;50;TOWER
98;50;TOWER
98;50;TOWER
98;50;TOWER
98;50;TOWER
98;50;TOWER
87;47;TOWER
87;47;TOWER
87;47;TOWER
87;47;TOWER
88;47;TOWER
88;47;TOWER
88;47;TOWER
87;47;TOWER
87;47;TOWER
88;48;TOWER
86;47;TOWER
87;47;TOWER
87;47;TOWER
87;47;TOWER
88;47;TOWER
88;47;TOWER
87;48;TOWER
85;54;N/A
86;55;N/A
86;54;TOWER
86;54;N/A
85;54;N/A
86;55;N/A
86;55;N/A
85;54;N/A
86;54;N/A
85;55;TOWER
86;55;N/A
86;54;N/A
86;55;N/A
86;55;TOWER
85;55;TOWER
85;54;POLE
85;54;TOWER
86;55;TOWER
86;55;TOWER
72;51;N/A
73;50;N/A
72;51;N/A
71;50;N/A
71;50;N/A
73;50;N/A
73;50;N/A
73;50;MAST
72;50;N/A
71;50;MAST
72;51;TOWER
72;50;N/A
25;74;N/A
25;75;TOWER
27;74;POLE
25;74;N/A
25;74;N/A
25;74;N/A
26;74;TOWER
25;74;TOWER
25;75;TOWER
26;74;TOWER
24;74;TOWER
25;74;TOWER
69;50;MAST
70;49;MAST
69;49;MAST
69;50;TOWER
70;50;MAST
70;49;POLE
70;49;TOWER
69;49;TOWER
69;49;TOWER
70;49;TOWER
69;50;MAST
69;50;TOWER
70;49;TANK
70;49;MAST
69;49;MAST
55;52;MAST
54;53;N/A
55;53;N/A
55;52;N/A
55;53;N/A
55;52;MAST
54;53;N/A
56;53;MAST
55;52;N/A
54;52;N/A
56;53;N/A
55;53;N/A
55;52;MAST
55;52;N/A
55;53;MAST
55;53;N/A
55;52;N/A
55;53;N/A
55;53;N/A
55;52;N/A
55;52;N/A
55;52;MAST
55;52;POLE
55;53;N/A
54;52;N/A
55;52;N/A
55;52;TOWER
55;52;POLE
55;53;TANK
55;52;POLE
55;52;TOWER
54;52;MAST
54;53;TOWER
78;59;N/A
77;59;TOWER
78;59;B
78;59;TOWER
77;59;TOWER
78;59;TOWER
27;75;POLE
28;75;MAST
27;75;MAST
27;75;MAST
27;75;POLE
